,scientific_name,park_name,observations,category,common_names,conservation_status
0,Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
1,Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,
2,Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,
3,Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,
4,Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,
5,Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,
6,Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,
7,Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",
8,Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,
9,Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,
10,Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,
11,Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,
12,Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,
13,Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,
14,Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,
15,Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",
16,Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,
17,Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",
18,Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,
19,Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
20,Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,
21,Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,
22,Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,
23,Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,
24,Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
25,Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
26,Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,
27,Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",
28,Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,
29,Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,
30,Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
31,Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,
32,Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,
33,Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,
34,Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",
35,Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
36,Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
37,Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,
38,Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,
39,Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",
40,Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",
41,Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,
42,Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
43,Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,
44,Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,
45,Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,
46,Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,
47,Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
48,Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,
49,Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,
50,Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,
51,Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,
52,Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,
53,Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,
54,Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,
55,Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",
56,Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",
57,Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",
